Player,Team,Position,Goal.Scoring,Assist.Creation,Attack,Dribbling,Possession,Defense,Physical,Goalkeeping
João Palhinha,Benfica,MF,16,10,8,1,7,17,7,0
A. Circati,Benfica,CB,9,8,7,6,8,16,12,0
J. Kamiński,Benfica,AM & W,11,7,11,11,8,12,12,0
C. Lenglet,Benfica,CB,6,12,9,13,15,8,11,0
Sergi Altimira,Sporting CP,MF,10,8,8,9,14,13,15,0
André Silva,Porto,CF,14,8,10,7,11,8,9,0
Thiago Carvalho,Vitória SC,CB,15,6,12,11,9,13,13,0
Óscar Rivas,Vitória SC,CB,12,6,13,16,12,9,14,0
Z. Debast,Sporting CP,CB,4,17,11,16,19,7,11,0
Gonçalo Inácio,Sporting CP,CB,12,18,12,13,18,7,12,0
Eduardo Quaresma,Sporting CP,CB,15,18,15,16,19,9,13,0
B. Arrey-Mbi,SC Braga,CB,3,11,5,5,10,8,8,0
S. Niakaté,SC Braga,CB,11,11,13,11,15,9,12,0
G. Lagerbielke,SC Braga,CB,16,9,11,7,14,8,10,0
Vitor Carvalho,SC Braga,CB,16,18,12,7,10,10,9,0
Henrique Silva,Santa Clara,CB,6,6,7,9,6,11,6,0
Gustavo Mancha,Rio Ave,CB,7,11,9,7,14,9,12,0
Nelson Abbey,Rio Ave,CB,3,14,12,19,4,8,13,0
F. Petrasso,Rio Ave,CB,5,10,8,9,6,6,10,0
J. Brabec,Rio Ave,CB,9,9,8,8,10,11,8,0
J. Kiwior,Porto,CB,9,12,12,15,13,13,17,0
J. Bednarek,Porto,CB,11,10,9,10,16,14,15,0
Zé Vitor,Nacional,CB,16,10,13,11,9,14,9,0
Léo Santos,Nacional,CB,17,15,17,17,8,11,13,0
Gilberto Batista,Moreirense,CB,4,6,5,7,10,12,9,0
Maracás,Moreirense,CB,14,6,7,3,10,9,6,0
I. Ba,Sporting CP,CB,11,10,11,12,12,14,14,0
L. Realpe,Famalicão,CB,14,12,12,9,10,10,9,0
A. Chernev,Estrela Amadora,CB,9,6,10,12,6,5,8,0
Luan Patrick,Estrela Amadora,CB,3,9,8,14,12,13,10,0
Bernardo Schappo,Estrela Amadora,CB,7,11,9,10,11,15,14,0
Ferro,Estoril,CB,15,6,8,4,9,13,7,0
Kaly,Casa Pia AC,CB,4,9,6,9,6,16,13,0
David Sousa,Casa Pia AC,CB,16,6,14,15,10,15,14,0
João Goulart,Casa Pia AC,CB,7,6,9,11,5,10,9,0
André Geraldes,Casa Pia AC,CB,5,6,7,10,4,3,5,0
Tomás Araújo,Benfica,CB,15,14,18,19,17,8,14,0
B. Popović,Arouca,CB,10,6,8,9,8,10,9,0
José Fontán,Arouca,CB,14,14,13,13,17,9,11,0
Javi Sánchez,Arouca,CB,6,16,7,7,11,16,10,0
B. Meupiyou,Alverca,CB,5,11,10,15,8,6,11,0
Sergi Gómez,Alverca,CB,4,7,4,3,6,5,7,0
T. Strata,Vitória SC,FB & WB,11,12,15,18,15,9,13,0
Miguel Maga,Vitória SC,FB & WB,4,6,4,4,14,8,8,0
João Mendes,Vitória SC,FB & WB,7,10,8,9,16,9,8,0
Iván Fresneda,Sporting CP,FB & WB,14,8,15,18,11,15,18,0
G. Vagiannidis,Sporting CP,FB & WB,12,16,15,14,10,11,17,0
M. Araújo,Sporting CP,FB & WB,19,15,16,12,15,10,9,0
Mario Dorgeles,SC Braga,FB & WB,18,13,14,9,11,5,11,0
Gabri Martínez,SC Braga,FB & WB,16,15,19,20,9,9,14,0
Víctor Gómez,SC Braga,FB & WB,13,15,13,11,13,9,8,0
Lucas Soares,Santa Clara,FB & WB,6,9,9,9,11,7,6,0
M. Vrousai,Rio Ave,FB & WB,13,9,12,9,15,16,14,0
Martim Fernandes,Porto,FB & WB,10,6,7,7,11,13,9,0
Alberto Costa,Porto,FB & WB,13,18,16,16,8,13,14,0
Francisco Moura,Porto,FB & WB,18,13,15,12,15,9,11,0
Z. Sanusi,Porto,FB & WB,15,11,14,14,12,10,18,0
José Gomes,Nacional,FB & WB,12,15,12,11,5,10,9,0
